Name,Category,Subcategory,Risk,Technology,Standard Ports,Characteristics
100bao,general-internet,file-sharing,5,peer-to-peer,"tcp/3468,6346,11300",evasive-behavior consume-big-bandwidth used-by-malware able-to-transfer-file has-known-vulnerability pervasive-use
104apci-supervisory,business-systems,ics-protocols,2,client-server,tcp/2404,has-known-vulnerability pervasive-use
104apci-unnumbered,business-systems,ics-protocols,2,client-server,tcp/2404,has-known-vulnerability pervasive-use
104apci-unnumbered-startdt-act,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104apci-unnumbered-startdt-con,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104apci-unnumbered-stopdt-act,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104apci-unnumbered-stopdt-con,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104apci-unnumbered-test-act,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104apci-unnumbered-test-con,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-file-transfer,business-systems,management,3,client-server,tcp/2404,able-to-transfer-file has-known-vulnerability pervasive-use
104asdu-file-transfer-type120,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-file-transfer-type121,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-file-transfer-type122,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-file-transfer-type123,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-file-transfer-type124,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-file-transfer-type125,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-file-transfer-type126,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-file-transfer-type127,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-param-control,business-systems,management,2,client-server,tcp/2404,has-known-vulnerability pervasive-use
104asdu-param-control-type110,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-param-control-type111,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-param-control-type112,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-param-control-type113,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-control,business-systems,management,2,client-server,tcp/2404,has-known-vulnerability pervasive-use
104asdu-process-control-type45,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-control-type46,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
104asdu-process-control-type47,business-systems,ics-protocols,1,client-server,tcp/2404,has-known-vulnerability
